idx,raw_log_prediction,raw_log_confidence,raw_lightgbc_prediction,raw_lightgbc_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_log_prediction,+pts_log_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,+pts_knn_prediction,+pts_knn_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2017-11-10Cal_Poly,1,0.5100622769040983,1,0.501453458329738,1,0.5023452885757279,0,0.5071844678019424,1,0.5,0,0.5505050505050505,0,0.5075193643569946,0,0.5044142030921687,0,0.505434140740039,0,0.5049241718391544
2017-11-10California,0,0.5134861914980295,1,0.5052329376295281,0,0.5448100203538051,1,0.5029986529043541,1,0.5,0,0.5202020202020202,1,0.522318959236145,0,0.5067681187303832,0,0.5066992012405493,0,0.5067336599090435
2017-11-10Central_FL,0,0.5190673845717021,1,0.5133212298095899,1,0.5133770882712392,0,0.5030038919638011,1,0.5,1,0.5303030303030303,1,0.5011751651763916,1,0.5053010652144497,1,0.5043057078955466,1,0.5048033864787702
2017-11-10Chattanooga,1,0.5349309894093492,0,0.5088838320070594,1,0.5379209311708718,1,0.5188696620153702,1,0.5086605959131208,0,0.5252525252525253,1,0.5366785526275635,1,0.5159350789871417,1,0.5161894447003456,1,0.5160622617687038
2017-11-10Clemson,0,0.5146692533778432,0,0.5046187233917849,0,0.5147577458862506,1,0.5133224607122236,1,0.5072872934356537,1,0.5151515151515151,1,0.5080514550209045,0,0.5001127193784524,1,0.5005998484711969,1,0.500243564471579
2017-11-10Col_Charlestn,0,0.5067562499567856,0,0.5010951621390922,0,0.5185954974303528,1,0.5105225559310583,1,0.5,0,0.5101010101010099,1,0.5181035399436951,0,0.5011388071225709,0,0.5010268645421119,0,0.5010828357564437
2017-11-10Colorado,0,0.5035257277788501,1,0.5054881722692035,1,0.5373602583064493,1,0.5188683692125124,1,0.5078996734724734,1,0.5656565656565656,1,0.5141108632087708,1,0.5187774363826231,1,0.5190766643351619,1,0.5189270502805114
2017-11-10Colorado_St,0,0.5158650562419109,1,0.5089844973430689,0,0.5183684370809736,1,0.5156938890858186,1,0.509648240692756,0,0.5202020202020202,0,0.5000030994415283,0,0.5014181226441117,0,0.5022287119792846,0,0.5018234172353442
2017-11-10Columbia,1,0.5068530023075972,1,0.5044095810786818,1,0.52920803402938,0,0.5162804442585673,0,0.5088548898760114,0,0.5050505050505051,0,0.5063030719757079,1,0.5022627195564991,1,0.5011227118242693,1,0.5016927156150736
2017-11-10Cornell,1,0.5108055564741033,1,0.5033053668452123,1,0.5000821141405294,0,0.5011694120669473,1,0.5,0,0.5050505050505051,0,0.5104131698608398,0,0.5000824411783008,0,0.5000603392977293,0,0.500071390163468
2017-11-10Creighton,0,0.5002832697354661,0,0.5072376923469097,1,0.5050106164381186,1,0.5224038188344498,1,0.508244160448135,1,0.5505050505050505,1,0.5177035331726074,1,0.510347435695749,1,0.5119988674550084,1,0.5111731514982296
2017-11-10Dayton,0,0.5188269275592201,1,0.5022945201395488,0,0.5204513620715311,0,0.5076801334035765,0,0.5060889840701126,1,0.5050505050505051,0,0.5032929182052612,0,0.5073360356122651,0,0.5075423158577838,0,0.5074391756594503
2017-11-10Delaware,1,0.5047185848563797,0,0.5077627192516689,0,0.5173769312925538,0,0.5061026476144758,1,0.5,1,0.5050505050505051,0,0.5050050616264343,0,0.505496621153026,0,0.5042879495554682,0,0.5048922852793474
2017-11-10Detroit,1,0.5108755415272045,0,0.5095465546113571,0,0.509652840315854,1,0.5021171129708564,1,0.5055812826714371,0,0.5101010101010099,0,0.5146923959255219,0,0.5044374142530601,0,0.5034179691875365,0,0.5039276916448596
2017-11-10Drexel,1,0.5056227205458655,0,0.5085301843046892,0,0.5172519921408105,1,0.5176382907593431,1,0.5,0,0.5050505050505051,0,0.5066333711147308,0,0.5029702484659018,0,0.5020603890197629,0,0.5025153186674344
