idx,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_log_prediction,raw_log_confidence,raw_linsvc_prediction,raw_linsvc_confidence,raw_knn_prediction,raw_knn_confidence,+pts_log_prediction,+pts_log_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2017-12-02Furman,1,0.670200319067712,1,0.6337429517209837,1,0.6268618209040836,1,0.7048192771084337,1,0.8100663631073143,1,0.6628498435020447,1,0.659378324723234,1,0.6725581829051808,1,0.66596825373985
2017-12-02Georgia,0,0.7388664173807116,0,0.7269870436034742,0,0.7342320325107925,0,0.7048192771084337,0,0.6662226063651822,0,0.7478323578834534,0,0.7268037505082057,0,0.7212721808569601,0,0.7240379656126907
2017-12-02Harvard,0,0.9439523477229388,0,0.9359699828725756,0,0.9373612671961759,0,0.927710843373494,0,0.9555788937759324,0,0.9188744723796844,0,0.9390363949413079,0,0.9392104512063121,0,0.9391234229789029
2017-12-02Hawaii,0,0.850378209492308,0,0.8410431541929317,0,0.8497338619195326,0,0.8493975903614458,0,0.8737653474961509,0,0.8462897837162018,0,0.8488591543506318,0,0.8504788882771396,0,0.849669021228113
2017-12-02Holy_Cross,1,0.687710679075816,1,0.6802364671062708,1,0.6855189748129111,1,0.6867469879518072,1,0.7358775869444341,1,0.7019264698028564,1,0.6877321005789822,1,0.6907017122966237,1,0.6892169063668877
2017-12-02Houston,0,0.6484658632897191,0,0.6264824622054875,0,0.6107758396466223,0,0.6144578313253012,0,0.636099714912958,0,0.6661676168441772,0,0.6279140518468171,0,0.6274655226022601,0,0.6276897871595251
2017-12-02IL-Chicago,0,0.8318665164054946,0,0.8339887090602882,0,0.8368158485886807,0,0.7831325301204819,0,0.7785306400549018,0,0.8439704477787018,0,0.8261336276924085,0,0.81974780335712,0,0.8229407154443857
2017-12-02IUPUI,0,0.6343714759384159,0,0.6722139839553081,0,0.6994930814835659,0,0.6144578313253012,0,0.5973730179483682,0,0.6935750246047974,0,0.6590280602394137,0,0.6514894677319201,0,0.6552587639254437
2017-12-02Illinois_St,1,0.7717051138944507,1,0.7510526139741316,1,0.7571157831639497,1,0.7650602409638554,1,0.7397431561453739,1,0.7682271003723145,1,0.7593751583446166,1,0.7586214817460855,1,0.7589983199700818
2017-12-02Indiana,0,0.7530031259680932,0,0.7882231383164829,0,0.805305714974319,0,0.8192771084337349,0,0.5684109927876226,0,0.791927695274353,0,0.7728512631910582,0,0.7634594629216731,0,0.7681553629911491
